country_code,decade,contemporaneous_effect
CZE,1970s,4.750756080932467
CZE,1980s,3.1795711672481812
CZE,1990s,2.861892630201323
CZE,2000s,-0.9476926776689325
CZE,2010s,-1.144604729141641
CZE,2020-2024,-0.3820836416033368
DEU,1960s,-3.8889129956536395
DEU,1970s,0.2210732436308086
DEU,1980s,-0.6471071210825495
DEU,1990s,-1.8440153106505566
DEU,2000s,-1.7770839337585627
DEU,2010s,-1.2991814596584246
DEU,2020-2024,2.1403688149802793
DJI,1960s,-0.5653827507121486
DJI,1970s,6.589768312922698
DJI,1980s,0.6409416396026171
DJI,1990s,0.9599320851943253
DJI,2000s,4.577065025855831
DJI,2010s,0.015104524771756132
DJI,2020-2024,0.17791627825436213
DMA,1960s,4.286998447824648
DMA,1970s,2.861153230808067
DMA,1980s,-2.422287343105641
DMA,1990s,-2.6817018801953334
DMA,2000s,-1.8635405324640533
DMA,2010s,0.08955504228757385
DMA,2020-2024,0.13816176220608575
DNK,1960s,-0.706152589870972
DNK,1970s,-2.8657195510493256
DNK,1980s,-3.058445821748674
DNK,1990s,3.4465294242939106
DNK,2000s,-0.3422356479990867
DNK,2010s,0.09459914071183795
DNK,2020-2024,-0.01625810920750076
DOM,1960s,9.913375844030007
DOM,1970s,1.229979004062066
DOM,1980s,-1.3457922621041232
DOM,1990s,2.2899518954915155
DOM,2000s,0.7146899544053453
DOM,2010s,-0.45859919048234
DOM,2020-2024,0.8973716059423831
DZA,1960s,1.8466024771927532
DZA,1970s,3.3603518490362663
DZA,1980s,-0.3960768238631869
DZA,1990s,-5.921550980423371
DZA,2000s,3.469786160116918
DZA,2010s,0.9015775817180192
DZA,2020-2024,-0.6826960660208076
ECU,1960s,2.583703934728315
ECU,1970s,-3.024336507710028
ECU,1980s,3.462773101215107
ECU,1990s,-0.10492239892075945
ECU,2000s,-4.427164513889282
ECU,2010s,-0.15074613872065923
ECU,2020-2024,1.0431424545382548
EGY,1960s,-4.940491148540581
EGY,1970s,4.151990722486069
EGY,1980s,2.2045013608092714
EGY,1990s,-0.8704245436321681
EGY,2000s,-2.0556701358804603
EGY,2010s,-3.4710471464266544
EGY,2020-2024,0.755823365623997
ERI,1960s,0.2300636606837035
ERI,1970s,-5.3292253835741334
ERI,1980s,5.810112885347413
ERI,1990s,7.449721557220373
ERI,2000s,-9.529167883803092
ERI,2010s,3.120190347410429
ERI,2020-2024,-1.380541142993155
ESP,1960s,-1.727839438234659
ESP,1970s,-0.8464412679237241
ESP,1980s,0.6723716866576355
ESP,1990s,0.0034348866960522417
ESP,2000s,-0.0206422978113825
ESP,2010s,-0.5586477811227818
ESP,2020-2024,0.7736197049832594
EST,1960s,-3.7200381516815573
EST,1970s,-2.431115500988458
EST,1980s,0.895432580501448
EST,1990s,11.100739854172645
EST,2000s,-0.09312955127852462
EST,2010s,0.18318675356691677
EST,2020-2024,-0.8895446606496783
ETH,1960s,-1.949633047468323
ETH,1970s,-6.4440966656051915
ETH,1980s,4.19528473238349
ETH,1990s,3.811856211281412
ETH,2000s,-0.695666915750781
ETH,2010s,1.807197977672491
ETH,2020-2024,-1.3472593624701434
FIN,1960s,-1.37788882080766
FIN,1970s,1.7244716325870213
FIN,1980s,-1.8889206609182003
FIN,1990s,4.204899129977481
FIN,2000s,-2.6841561204665365
FIN,2010s,1.0547895581571967
FIN,2020-2024,-0.026642770017889603
FJI,1960s,-0.27861947763441963
FJI,1970s,-3.3671166989638106
FJI,1980s,-2.730155766123537
FJI,1990s,6.347791764431882
FJI,2000s,-0.9966178776639876
FJI,2010s,12.009958474312038
FJI,2020-2024,-0.44550417436349143
FRA,1960s,-2.705632314490029
